ContextTokens,GeneratedTokens,KV_Tokens,TIMESTAMP
233,233,1698
595,595,1490
631,631,1489
387,387,1693
365,365,2188
211,211,2294
314,314,1926
787,787,1078
262,262,2213
838,838,1105
879,879,1456
521,521,1545
1122,1122,1503
761,761,1738
754,754,1909
239,239,1894
332,332,1959
1278,1278,1328
950,950,1851
284,284,3879
1132,1132,1413
691,691,1710
346,346,1966
275,275,1507
301,301,1498
223,223,1645
826,826,1468
392,392,2368
816,816,2064
366,366,1415
312,312,2598
462,462,1776
1478,1478,1635
433,433,1820
412,412,1686
432,432,3814
257,257,2260
386,386,1829
676,676,1966
290,290,1750
314,314,2002
235,235,1865
398,398,1628
451,451,1927
515,515,1951
683,683,1628
240,240,2396
431,431,1854
1265,1265,1265
1254,1254,1679
352,352,3253
753,753,1717
556,556,1519
730,730,1397
404,404,2035
456,456,1876
257,257,2292
675,675,1962
484,484,1837
753,753,2358
765,765,1357
745,745,1726
356,356,2341
533,533,2304
264,264,2286
972,972,1733
690,690,1839
587,587,2921
738,738,1484
1049,1049,1874
308,308,2458
751,751,1790
605,605,2188
518,518,1970
418,418,2265
328,328,3650
443,443,2476
340,340,2214
1340,1340,1537
258,258,2220
637,637,3139
872,872,1473
404,404,2389
646,646,1676
261,261,2116
484,484,2650
782,782,2021
663,663,1564
735,735,2219
434,434,2091
357,357,2583
827,827,1417
353,353,2542
812,812,1707
454,454,2878
290,290,2675
340,340,3094
423,423,1804
418,418,1816
512,512,1828
468,468,3597
283,283,2223
355,355,2980
1935,1935,1984
888,888,1366
1205,1205,2545
370,370,2205
308,308,2562
776,776,5790
838,838,2608
568,568,1675
275,275,2335
394,394,2203
458,458,2853
1101,1101,1767
362,362,2510
241,241,2772
915,915,2644
522,522,2331
376,376,3005
348,348,2453
376,376,2705
1499,1499,1552
469,469,1622
609,609,1871
356,356,3713
1366,1366,2358
261,261,2118
890,890,2382
533,533,2294
1493,1493,1543
449,449,2441
440,440,2215
1575,1575,2151
802,802,2179
380,380,3512
232,232,2603
328,328,2469
505,505,2007
305,305,2406
424,424,2978
272,272,2597
610,610,2620
403,403,2348
572,572,2666
540,540,3225
233,233,2102
909,909,3252
877,877,1860
325,325,2851
456,456,2733
407,407,2452
450,450,5292
467,467,2044
727,727,2496
295,295,2522
531,531,2889
321,321,3793
331,331,2264
490,490,3322
418,418,2331
267,267,2790
1357,1357,1387
897,897,2020
294,294,2187
278,278,2287
971,971,2042
370,370,2703
370,370,2914
1331,1331,2969
